Artist,Album,Song,Streams
Lil Wayne,Features,Addiction (feat. Lil Wayne & Saweetie),12483148
Lil Wayne,Rebirth,Prom Queen - Album Version (Edited),12299185
Lil Wayne,Tha Carter V,In This House (feat. Gucci Mane),12250439
Lil Wayne,Tha Carter IV,Interlude,12208364
Lil Wayne,Features,Yuck!,12187077
Lil Wayne,Features,Roman Reloaded,12055047
Lil Wayne,Features,Bitches & Bottles (Let's Get It Started),11994218
Lil Wayne,Funeral,Mama Mia,11894209
Lil Wayne,Tha Carter III,I'm Me,11728258
Lil Wayne,I Am Not A Human Being II,Curtains,11304225
Lil Wayne,Features,9 Piece,11297029
Lil Wayne,Features,We Outchea,11294278
Lil Wayne,Features,Sex In The Lounge,11293541
Lil Wayne,I Am Not A Human Being,With You,11270760
Lil Wayne,Funeral,Ball Hard (ft. Lil Twist),11168897
Lil Wayne,Features,Back That Thang Up,11160144
Lil Wayne,Features,Take Kare (feat. Lil Wayne),11024621
Lil Wayne,I Am Not A Human Being II,Wowzerz,10990329
Lil Wayne,Tha Carter IV,Two Shots,10921819
Lil Wayne,I Am Not A Human Being II,Back To You,10897197
Lil Wayne,Features,Amen (Pre Fight Prayer) (with Lil Wayne),10842607
Lil Wayne,Features,Enough Of No Love,10750735
Lil Wayne,I Am Not A Human Being II,Days And Days,10706072
Lil Wayne,Features,On Me (feat. Lil Wayne),10511609
Lil Wayne,Features,Locked Away Again (The Remix) (feat. Adam Levine & Lil Wayne),10509374
Lil Wayne,Features,Blood Walk,10334014
Lil Wayne,Tha Carter IV,I Like The View,10187846
Lil Wayne,Tha Carter IV,Abortion,10125429
Lil Wayne,Tha Carter IV,Outro,10023546
Lil Wayne,Tha Carter III,La La,9979479
Lil Wayne,Features,From Adam,9902721
Lil Wayne,Features,Y.U. MAD,9901409
Lil Wayne,Features,Don't Mind (feat. Pitbull & Lil Wayne) - Remix,9898189
Lil Wayne,Tha Carter III,DontGetIt,9861533
Lil Wayne,Tha Carter IV,Intro,9854207
Lil Wayne,Features,Why I Do It,9818834
Lil Wayne,Tha Carter III,Phone Home,9785305
Lil Wayne,Features,S.O.T.L. (Silence of the Lambs) [feat. Lil Wayne],9748787
Lil Wayne,Features,Unstoppable (feat. Santigold & Lil Wayne),9657069
Lil Wayne,Funeral,Multiple Flows (with Lil Uzi Vert),9639610
Lil Wayne,Tha Carter III,You Ain't Got Nuthin,9553684
Lil Wayne,Features,"2 Dollar Bill (feat. Lil Wayne, E-40)",9381718
Lil Wayne,Features,Duffle Bag Boy (feat. Playa Circle & Lil Wayne),9187343
Lil Wayne,Features,Intro,9135799
Lil Wayne,Features,Push,9116923
Lil Wayne,Features,500 Degrees,9018651
Lil Wayne,Features,Welcome To My Hood,9017628
Lil Wayne,Features,Goat Talk,8961457
Lil Wayne,Features,Bout That,8891068
Lil Wayne,Funeral,Trust Nobody (ft. Adam Levine),8877724
Lil Wayne,Tha Carter III,Dr. Carter,8866647
Lil Wayne,Features,All That (Lady),8778283
Lil Wayne,Features,We Alright,8541748
Lil Wayne,Features,HOT WIND BLOWS (feat. Lil Wayne),8539023
Lil Wayne,Features,Give It up to Me (feat. Lil Wayne),8520090
Lil Wayne,Features,Revolver (feat. Lil Wayne),8476116
Lil Wayne,I Am Not A Human Being II,IANAHB,8436356
Lil Wayne,Features,"Ima Boss (feat. T.I., Birdman, Lil' Wayne, DJ Khaled, Rick Ross & Swizz Beatz)",8404453
Lil Wayne,Tha Carter II,Tha Mobb,8361295
Lil Wayne,Funeral,Shimmy (with Doja Cat),8344365
Lil Wayne,Funeral,Dreams,8275535
Lil Wayne,Tha Carter II,Shooter,8259455
Lil Wayne,Orphan,"Scared of the Dark (Remix) [with Ty Dolla $ign and Ozuna, feat. XXXTENTACION]",8224278
Lil Wayne,Features,Money Maker (feat. Lil Wayne),8220298
Lil Wayne,I Am Not A Human Being,I Am Not A Human Being,8209432
Lil Wayne,Funeral,Clap For Em,8092580
Lil Wayne,Space Jam,Space Jam,8029475
Lil Wayne,Features,Brown Sugar (feat. Lil Wayne),7938818
Lil Wayne,Features,I Got A Question,7858745
Lil Wayne,Features,Just Right for Me (feat. Lil Wayne),7832317
Lil Wayne,Start A Fire,Start A Fire,7795438
Lil Wayne,Tha Carter V,Hasta La Vista,7748989
Lil Wayne,Funeral,Know You Know (ft. 2 Chainz),7613462
Lil Wayne,Features,Don Life (feat. Lil Wayne),7552616
Lil Wayne,Pussy Talk,"Pussy Talk (feat. Quavo, Lil Wayne, & Jack Harlow) [Remix]",7526607
Lil Wayne,Features,Switch Up (feat. Lil Wayne & Jeremih),7443567
Lil Wayne,Features,Gold (feat. Lil Wayne) - Remix,7430724
Lil Wayne,Features,Key to the Streets - Remix,7428235
Lil Wayne,Funeral,Funeral,7385103
Lil Wayne,Features,Ballin',7380127
Lil Wayne,Features,Moment,7294428
Lil Wayne,FWA,Glory,7187192
Lil Wayne,Tha Carter,This Is The Carter,7124073
Lil Wayne,Features,Hail Mary (feat. Young Jeezy & Lil Wayne),7098901
Lil Wayne,Funeral,Bing James (ft. Jay Rock),7097829
Lil Wayne,Features,I Do It,7083027
Lil Wayne,Features,Have It Your Way,6964749
Lil Wayne,Features,Good Day,6944177
Lil Wayne,Features,"Women Lie, Men Lie (feat. Lil Wayne)",6872822
Lil Wayne,Features,Pretty Lil' Heart,6853876
Lil Wayne,Funeral,Not Me,6808636
Lil Wayne,Features,Motivation,6797609
Lil Wayne,Features,4 My Town (Play Ball),6716114
Lil Wayne,Funeral,Piano Trap,6662639
Lil Wayne,Features,Revolver (feat. Lil Wayne) - Madonna vs. David Guetta One Love Remix,6649577
Lil Wayne,Tha Carter III,Pussy Monster,6633965
Lil Wayne,Features,Maybach Music 2,6599651
Lil Wayne,No Ceilings,Surf Swag,6555137
Lil Wayne,Tha Carter II,Fly In,6525123
Lil Wayne,No Ceilings,Shoes,6494503
Lil Wayne,Gimme Brain,Gimme Brain,6397362
Lil Wayne,Tha Carter II,Mo Fire,6342323
Lil Wayne,Features,Pistol On My Side (P.O.M.S) (feat. Lil Wayne),6281321
Lil Wayne,Tha Carter V,Life Of Mr. Carter,6265018
Lil Wayne,Features,Just in Love - featuring Lil Wayne,6239064
Lil Wayne,I Am Not A Human Being,What's Wrong With Them,6213127
Lil Wayne,Features,Hot Boy,6128463
Lil Wayne,Funeral,Harden,6110073
Lil Wayne,Tha Carter II,Hit Em Up,6108666
Lil Wayne,NFL,NFL (feat. Gudda Gudda & HoodyBaby),6097132
Lil Wayne,I Am Not A Human Being,Popular,6052587
Lil Wayne,No Ceilings,Kobe Bryant,5952158
Lil Wayne,Features,RUN IT UP,5911314
Lil Wayne,Tha Carter,BM J.R.,5884267
Lil Wayne,I Am Not A Human Being II,Lay It Down,5831320
Lil Wayne,Tha Carter II,Receipt,5821540
Lil Wayne,I Am Not A Human Being II,Hot Revolver,5800987
Lil Wayne,Features,"Sleazy REMIX 2.0 Get Sleazier (feat. Lil' Wayne, Wiz Khalifa, T.I. & Andr?? 3000)",5756449
Lil Wayne,Features,"Cuddy Buddy (feat. Lil Wayne, T-Pain & Twista)",5727319
Lil Wayne,Tha Carter,I Miss My Dawgs,5677843
Lil Wayne,Tha Carter II,I'm A Dboy,5677677
Lil Wayne,Features,Timeless (feat. Lil Wayne & Big Sean),5593698
Lil Wayne,THANKFUL,THANKFUL (feat. Lil Wayne & Jeremih),5571991
Lil Wayne,Features,I Run This,5561727
Lil Wayne,Features,Roman's Revenge,5527358
Lil Wayne,Funeral,Stop Playin With Me,5506438
Lil Wayne,Features,Bible (feat. Lil' Wayne),5454347
Lil Wayne,Tha Carter III,Kush,5439835
Lil Wayne,Features,Losin It,5336623
Lil Wayne,Lollipop,Lollipop - Radio Edit,5310644
Lil Wayne,Orphan,Hot Nigga,5272702
Lil Wayne,Features,Last Of A Dying Breed,5225523
Lil Wayne,Features,Let It Rock - W/Out Rap,5201997
Lil Wayne,Features,Blue C-Note,5179257
Lil Wayne,Features,Hello,5122165
Lil Wayne,Rebirth,On Fire - Album Version (Edited),5094119
Lil Wayne,Features,Bentley Truck,5049608
Lil Wayne,Tha Carter,Bring It Back,5045014
Lil Wayne,Like Father Like Son,You Ain't Know,5026585
Lil Wayne,Funeral,Wild Dogs,4982339
Lil Wayne,Features,Hollywood Divorce (feat. Snoop Dogg & Lil' Wayne),4972914
Lil Wayne,I Am Not A Human Being,Hold Up,4953590
Lil Wayne,Funeral,Bastard (Satan's Kid),4950366
